가가호호 방문하다
꽃을 달다
꽃이 시들다
꽃이 지다
꽉 짜이다
꽉 차다
꽹과리를 두드리다
꾀가 늘다
꾀를 내다
꾀를 부리다
꾐수를 쓰다
꾸벅꾸벅 졸다
꾸역꾸역 모여들다
꾸욱 참다
꾸중을 듣다
꾸지람을 듣다
꾹꾹 누르다
꿀꺽 삼키다
꿀떡 삼키다
꿈을 꾸다
꿈이 실현되다
꿈이 이루어지다
꿈자리가 사납다
꿋꿋이 견디다
꿋꿋이 버티다
꿍꿍이속이 있다
끈기가 없다
끈기가 있다
끈으로 묶다
끈을 매다
끈질긴 요구
끊임없는 노력
끌끌 차다
끗발이 세다
끗발이 오르다
끙끙 앓다
끝을 내다
끝을 맺다
끝을 보다
끝이 나다
끝장을 내다
끝장을 보다
끝장이 나다
끼니를 거르다
끼니를 때우다
낌새를 보이다
낌새를 채다
나들이를 가다
나라를 다스리다
나라를 세우다
나라의 대들보
나래를 펴다
나막신을 신다
나무랄 데 없다
나무를 베다
나무를 심다
나무를 하다
나물을 무치다
나사를 돌리다
나사를 박다
나사를 풀다
나이가 들다
나이가 어리다
나이가 지긋하다
나이를 먹다
나이를 잡수시다
나직이 속삭이다
나팔을 불다
낙관론을 펴다
낙승을 거두다
낙엽이 지다
낙인을 찍다
낙인이 찍히다
낙제점을 받다
난관에 봉착하다
난관에 부딪치다
난관에 부딪히다
난관을 뚫다
난국에 대처하다
난국을 극복하다
난국을 수습하다
난국을 타개하다
난동을 벌이다
난동을 부리다
난동을 피우다
난리가 나다
난리가 터지다
난리를 치다
난리를 피우다
난봉을 부리다
난봉을 피우다
난색을 보이다
난색을 짓다
난색을 표하다
난장을 벌이다
난장판을 벌이다
난장판을 이루다
난장판이 되다
난장판이 벌어지다
난투극을 벌이다
난파를 당하다
난항에 부딪히다
난항을 겪다
날개가 돋다
날개를 접다
날개를 치다
날개를 펴다
날개를 펼치다
날씨가 개다
날씨가 찌다
날씨가 흐리다
날을 세우다
날이 새다
날이 어둑어둑하다
날이 저물다
날짜를 꼽다
날카로운 비판
남에게 뒤지다
남을 배려하다
납득이 가다
납작 엎드리다
낭설을 퍼뜨리다
낭패를 보다
낮잠을 자다
낯을 가리다
낯을 찌푸리다
낯이 설다
낯이 익다
낯익은 얼굴
내기를 걸다
내림세를 보이다
내막을 살피다
내막을 알다
내막을 알리다
내방을 받다
내분에 시달리다
내분에 휘말리다
내분을 일으키다
내사를 받다
내사를 벌이다
내사에 착수하다
내숭을 떨다
내실을 기하다
내실을 다지다
내역을 밝히다
내연의 여인
내연의 처
내정을 간섭하다
내홍을 겪다
냄새가 나다
냄새가 물씬 나다
냄새가 풍기다
냄새를 맡다
냄새를 물씬 풍기다
냄새를 풍기다
냄새를 피우다
냉기가 돌다
냉대를 받다
냉정을 되찾다
냉정을 잃다
냠냠 먹다
너스레를 떨다
너털웃음을 웃다
넋을 기리다
넋을 놓다
넋을 잃다
넋이 나가다
넌지시 묻다
널리 알려지다
널을 뛰다
넓은 의미
넥타이를 매다
넥타이를 풀다
넥타이를 하다
노고가 많다
노고를 위로하다
노고를 치하하다
노고에 보답하다
노기가 등등하다
노기가 어리다
노기가 충천하다
노기를 띠다
노기를 품다
노래를 부르다
노래를 짓다
노래를 흥얼거리다
노략을 일삼다
노략질을 일삼다
노력을 경주하다
노력을 기울이다
노력을 쏟다
노력을 하다
노력의 대가
노령에 이르다
노를 젓다
노름에 미치다
노름에 빠지다
노름으로 패가망신하다
노름판을 벌이다
노망을 떨다
노망을 부리다
노망이 들다
노목을 부라리다
노무를 제공하다
노무에 종사하다
노상강도가 출몰하다
노선을 취하다
노성을 지르다
노성을 터뜨리다
노안이 되다
노여움을 가라앉히다
노여움을 사다
노여움을 억누르다
노여움을 타다
노여움을 풀다
노여움이 풀리다
노예로 만들다
노을빛으로 물들다
노을이 지다
노이로제에 걸리다
노이로제에 시달리다
노익장을 과시하다
노익장을 자랑하다
노임을 인상하다
노임을 인하하다
노임을 지급하다
노임이 비싸다
노임이 싸다
노잣돈을 쥐어주다
노점을 벌이다
녹다운을 시키다
녹아웃을 시키다
녹을 먹다
녹음기를 끄다
녹음기를 켜다
녹음기를 틀다
녹이 슬다
녹초가 되다
논거가 강하다
논거가 되다
논거가 약하다
논고를 개시하다
논란의 여지
논리를 펴다
논문을 심사하다
논문을 제출하다
논물을 대다
논법을 바꾸다
논을 갈다
논을 매다
논의를 벌이다
논쟁을 벌이다
논점을 벗어나다
논점을 파악하다
논제에서 벗어나다
논조를 펴다
논증을 펴다
논진을 펴다
논평을 삼가다
논평을 피하다
놀금으로 사다
놀림감이 되다
놀림을 받다
농간에 넘어가다
농간에 빠지다
농간을 부리다
농담을 건네다
농담을 던지다
농담을 주고받다
농담이 지나치다
농도가 낮다
농도가 높다
농땡이를 부리다
농땡이를 치다
농락을 당하다
농사를 짓다
농성을 벌이다
농약을 뿌리다
농약을 살포하다
높은 자리
뇌를 쓰다
뇌리를 스치다
뇌리에 그리다
뇌리에 떠오르다
뇌리에 새기다
뇌물을 먹다
뇌물을 먹이다
뇌빈혈을 일으키다
뇌염에 걸리다
뇌일혈을 일으키다
뇌진탕을 일으키다
뇌척수막염에 걸리다
뇌출혈을 일으키다
뇌파를 기록하다
누기가 차다
누더기를 걸치다
누렇게 뜨다
누렇게 바래다
누룩을 디디다
누를 끼치다
누명을 뒤집어쓰다
누명을 벗기다
누명을 벗다
누명을 쓰다
누명을 씌우다
누명을 씻다
누습을 타파하다
누에를 치다
누전을 일으키다
누항에 살다
눈가리개를 풀다
눈가리개를 하다
눈가죽이 두껍다
눈가죽이 얇다
눈곱이 끼다
눈곱이 달리다
눈구덩이에 빠지다
눈금으로 재다
눈금을 긋다
눈금을 매기다
눈길을 거두다
눈길을 끌다
눈길을 돌리다
눈길을 모으다
눈길을 주고받다
눈길을 피하다
눈길이 닿다
눈대중으로 재다
눈독이 들다
눈두덩이 붓다
눈망울이 작다
